p_x,p_y,b_x,b_y,v_x,v_y
-2.6993,-0.377234,0.991946,1.12421,-2.20415,5.77527
1.79771,0.474193,0.724611,-1.25397,3.33518,-3.37
-1.38307,-0.0382796,-2.09872,1.01299,4.15777,0.371105
1.17171,-1.2258,-2.60093,0.960368,-2.73326,-4.61353
0.364782,1.31406,-3.86679,0.539839,5.909,4.97093
0.248453,-0.322723,-2.89265,1.36354,-0.990868,-5.47757
-1.87792,0.512855,0.401585,-0.579042,5.99705,3.92889
2.17188,-0.491671,-0.0992615,-1.96437,-1.77784,1.0132
0.799873,0.655768,-0.137098,-1.63246,1.68443,-5.6025
-2.91392,0.428382,-1.442,1.73697,1.39424,1.96107
